x,y,g1,g2,P
0.51,0.6671286584555287,1.3179994252462695,1.3486647109969716,80.40419179840758
0.52,0.6709012804661515,1.3033788395820685,1.3647346307091308,80.61544954828302
0.53,0.6746660955913176,1.2892169260705806,1.3813136960389467,80.81944687533047
0.54,0.6784295908557093,1.2755022211579794,1.3984157657635552,81.01642743031468
0.55,0.6821981810021196,1.2622236915042897,1.4160552317726596,81.20660441918
0.56,0.6859782320134252,1.2493707193080943,1.4342470389941562,81.39016093931599
0.5700000000000001,0.6897760839824959,1.2369330882611542,1.4530067062089,81.56725024127486
0.58,0.6935980735128869,1.2249009701070945,1.4723503477947373,81.73799591642523
0.59,0.6974505558250403,1.2132649117795444,1.492294696441952,81.90249201082311
0.6,0.7013399267369907,1.2020158230963014,1.5128571268843944,82.0608030653781
0.61,0.7052726446851002,1.191144964987201,1.5340556806927874,82.21296408218954
0.62,0.7092552529490346,1.1806439382344536,1.555909092179058,82.35898041672353
0.63,0.7132944022460034,1.170504672705223,1.578436815463003,82.49882759529548
0.64,0.7173968738621874,1.1607194170572046,1.6016590527552066,82.63245105711646
0.65,0.7215696034943332,1.1512807288988762,1.6255967839128485,82.75976581994934
0.66,0.7258197059817645,1.1421814653870033,1.650271797327931,82.8806560682083
0.67,0.7301545011186579,1.1334147742448097,1.6757067222104793,82.99497466211605
0.68,0.7345815407485436,1.124974085185052,1.7019250623324582,83.10254256631032
0.6900000000000001,0.7391086373578133,1.1168531017229986,1.7289512313015112,83.20314819606223
0.7000000000000001,0.7437438944028373,1.1090457933650677,1.7568105894371697,83.2965466790343
0.71,0.748495738626437,1.1015463881595822,1.785529482325905,83.38245903026336
0.72,0.7533729546443447,1.094349365596781,1.8151352811353256,83.46057123780325
0.73,0.7583847221113891,1.0874494498458818,1.8456564247719658,83.53053325620344
0.74,0.7635406558110908,1.080841603317608,1.877122463971472,83.59195790473099
0.75,0.7688508490518096,1.0745210205412008,1.9095641074145941,83.64441966696363
0.76,0.7743259207984339,1.068483122345504,1.9430132699672404,83.68745338809171
0.77,0.7799770670218273,1.06272355033427,1.977503123147965,83.72055286596284
0.78,0.7858161168100717,1.0572381616463595,2.013068147931653,83.74316933158703
0.79,0.7918555938573952,1.0520230239920219,2.0497441900038504,83.7547098144878
0.8,0.7981087840303012,1.0470744109569372,2.0875685175861967,83.75453538793906
0.81,0.804589809807852,1.0423887975661688,2.1265798819597315,83.74195928876215
0.8200000000000001,0.8113137125068673,1.037962856100639,2.1668185808195455,83.7162449059759
0.8300000000000001,0.8182965433359127,1.0337934521591772,2.208326524601274,83.67660363219072
0.84,0.8255554644780869,1.0298776409596173,2.2511473059273914,83.62219257121457
0.85,0.8331088615861394,1.0262126638728375,2.2953262723291075,83.5521120948939
0.86,0.8409764692897926,1.0227959451840274,2.3409106024079516,83.46540324174252
0.87,0.8491795115708408,1.0196250890758638,2.387949385609912,83.36104494941709
0.88,0.8577408591647686,1.0166978768286457,2.4364937057942107,83.23795111257468
0.89,0.8666852065081685,1.0140122642328095,2.486596728788593,83.09496745709578
0.9,0.876039271181444,1.0115663792095986,2.5383137941333023,82.93086822107324
0.91,0.8858320193113881,1.0093585196360113,2.5917025112268295,82.74435263234966
0.92,0.896094921017212,1.0073871513704873,2.6468228600980344,82.53404117173332
0.93,0.9068622407302382,1.005650906476129,2.703737297041417,82.29847161033184
0.9400000000000001,0.9181713681216743,1.0041485816385745,2.7625108653651735,82.0360948087101
0.9500000000000001,0.9300631964724209,1.0028791367759602,2.823211311515285,81.74527026480399
0.96,0.9425825566617694,1.0018416938387285,2.8859092068532535,81.42426139669959
0.97,0.9557787165994187,1.0010355357973342,2.950678075380329,81.07123054551555
0.98,0.9697059579562586,1.0004601058162246,3.017594527717114,80.68423368270288
0.99,0.9844242445655735,1.0001150066127535,3.086738401664491,80.26121480509488
1.0,1.0,1.0,3.158192909689767,79.8
